userId,movieId,rating,timestamp
1,2,4.0,964982703
1,3,3.0,964981247
1,6,4.0,964982224
1,47,5.0,964983815
1,50,5.0,964982931
1,70,3.0,964982400
1,101,5.0,964980868
1,110,4.0,964982176
1,151,5.0,964984041
1,157,5.0,964984100
1,163,5.0,964983650
1,216,5.0,964981208
1,223,3.0,964980985
1,231,5.0,964981179
1,235,4.0,964980908
1,260,5.0,964981680
1,296,3.0,964982967
1,316,3.0,964982310
1,334,5.0,964981179
1,349,4.0,964982563
1,356,4.0,964980962
1,362,5.0,964982588
1,367,4.0,964981710
1,423,3.0,964982363
1,441,4.0,964980868
1,457,5.0,964981909
1,480,4.0,964982346
1,500,3.0,964981208
1,527,5.0,964984002
1,543,4.0,964981179
1,552,4.0,964982653
1,553,5.0,964984153
1,590,4.0,964982546
1,592,4.0,964982271
1,593,4.0,964983793
1,596,5.0,964982838
1,640,5.0,964982931
1,648,3.0,964982563
1,651,5.0,964982838
1,673,3.0,964981775
1,733,4.0,964982400
1,736,2.0,964982653
1,780,3.0,964984086
1,804,4.0,964980499
1,919,5.0,964982475
1,923,5.0,964981529
1,940,6.0,964982176
1,943,4.0,964983614
1,954,5.0,964983219
1,1009,3.0,964981775
1,1023,5.0,964982681
1,1024,5.0,964982876
1,1025,5.0,964982791
1,1029,5.0,964982855
1,1030,4.0,964982903
1,1031,5.0,964982653
1,1032,5.0,964982791
1,1042,1.0,964981179
1,1878,1.0,964982400
